Experiment,Model,Features,MSE,RMSE,R²
Baseline (All),Ridge,100,428.0195360407862,20.688633015276437,0.9188891205473878
Baseline (All),XGBoost,100,313.7675964282392,17.713486286675447,0.940540177381993
Baseline (All),LightGBM,100,319.8484094709614,17.884306233985185,0.9393878465836271
Baseline (All),RandomForest,100,309.8941703554786,17.603811245167297,0.9412742022775911
Without Lag Features,Ridge,70,562.5675608688524,23.718506716672792,0.8933918997350732
Without Lag Features,XGBoost,70,436.54079695258423,20.893558743129045,0.9172743181647806
Without Lag Features,LightGBM,70,444.7842157356012,21.089907911975367,0.9157121676298503
Without Lag Features,RandomForest,70,406.0621926953147,20.150984906334347,0.9230500975104217
Without Rolling Statistics,Ridge,52,434.7067164014142,20.84962149300112,0.9176218814743163
Without Rolling Statistics,XGBoost,52,307.64888458984944,17.539922593610537,0.941699690106388
Without Rolling Statistics,LightGBM,52,306.63623288966545,17.511031748291288,0.9418915903891201
Without Rolling Statistics,RandomForest,52,300.58223182630576,17.337307513749238,0.9430388402436439
Without Time Features,Ridge,91,427.2788938322226,20.670725527475387,0.9190294742832289
Without Time Features,XGBoost,91,313.5686531139947,17.70786980734822,0.9405778776872848
Without Time Features,LightGBM,91,313.62362708487683,17.70942198618794,0.9405674599685833
Without Time Features,RandomForest,91,308.3792071525351,17.560729117907808,0.9415612919718274
Without City Encoding,Ridge,99,428.0995802249695,20.690567421532197,0.9188739519543039
Without City Encoding,XGBoost,99,306.56790903989304,17.50908075942004,0.9419045379465935
Without City Encoding,LightGBM,99,311.4578547529783,17.64816859487064,0.9409778797829669
Without City Encoding,RandomForest,99,310.57598040649896,17.62316601540424,0.9411449973974367
Without Interaction Features,Ridge,96,418.64053297404917,20.460707049709917,0.9206664674277865
Without Interaction Features,XGBoost,96,309.1135616524914,17.58162568286822,0.9414221297740633
Without Interaction Features,LightGBM,96,329.6157275416845,18.155322292421154,0.9375369129418172
Without Interaction Features,RandomForest,96,314.6334916091817,17.73791113996182,0.940376087863347
Without Base Pollutants,Ridge,95,480.00279827730577,21.908966161763676,0.909038149360834
Without Base Pollutants,XGBoost,95,350.718966007233,18.72749225089235,0.933537791202954
Without Base Pollutants,LightGBM,95,344.8683253226417,18.570630719570126,0.9346465037063085
Without Base Pollutants,RandomForest,95,341.54986070824697,18.481067629015563,0.9352753618789885
Without Meteorological,Ridge,98,426.92187249332875,20.662087805769502,0.9190971308090242
Without Meteorological,XGBoost,98,328.05642102885287,18.11232787437476,0.9378324058152544
Without Meteorological,LightGBM,98,320.8458620555922,17.91217078010346,0.9391988265751011
Without Meteorological,RandomForest,98,309.07408835952987,17.58050307469982,0.9414296100716604
Only Lag Features,Ridge,35,422.86079029074347,20.563579218870032,0.9198667170574184
Only Lag Features,XGBoost,35,298.18538631243564,17.26804523715512,0.9434930490616347
Only Lag Features,LightGBM,35,293.97444905624417,17.145683102642607,0.9442910332549004
Only Lag Features,RandomForest,35,309.1499222870436,17.5826597045795,0.9414152393337967
Only Rolling Statistics,Ridge,53,548.4979975730015,23.420034106999108,0.8960581206814272
Only Rolling Statistics,XGBoost,53,411.1715070940495,20.277364402062943,0.922081868377437
Only Rolling Statistics,LightGBM,53,428.6886691078235,20.704798214612563,0.9187623179905693
Only Rolling Statistics,RandomForest,53,407.31143095948977,20.181958055636965,0.9228133634230237
Only Time Features,Ridge,14,893.1419034114807,29.885479808955395,0.8307471524973055
Only Time Features,XGBoost,14,683.6887377220946,26.147442278779288,0.8704391035478316
Only Time Features,LightGBM,14,700.2880965220303,26.462957063072718,0.8672934793946295
Only Time Features,RandomForest,14,640.6687728172138,25.31143561351694,0.8785915052342885
