City,Date,PM2.5,PM10,NO2,CO,SO2,AQI,Temp_Mean,Humidity_Mean,Wind_Speed_Max
Ahmedabad,2015-01-01,,,18.22,0.92,27.64,,20.3,67,14.8
Ahmedabad,2015-01-02,,,15.69,0.97,24.55,,20.4,65,15.6
Ahmedabad,2015-01-03,,,19.3,17.4,29.07,,19.7,70,11.4
Ahmedabad,2015-01-04,,,18.48,1.7,18.59,,19.8,64,13.6
Ahmedabad,2015-01-05,,,21.42,22.1,39.33,,19.0,53,15.2
Ahmedabad,2015-01-06,,,38.48,45.41,45.76,,18.8,55,9.6
Ahmedabad,2015-01-07,,,40.62,112.16,32.28,,18.6,59,9.1
Ahmedabad,2015-01-08,,,36.74,80.87,38.54,,19.9,60,9.2
Ahmedabad,2015-01-09,,,31.0,29.16,58.68,,19.7,53,13.0
Ahmedabad,2015-01-10,,,7.04,,8.29,,20.0,53,10.2
Ahmedabad,2015-01-11,,,55.8,132.07,25.03,,20.0,53,9.7
Ahmedabad,2015-01-12,,,40.67,52.04,51.84,,20.1,54,9.4
Ahmedabad,2015-01-13,,,44.2,48.82,68.21,,19.9,56,8.7
Ahmedabad,2015-01-14,,,27.86,19.2,52.65,,20.2,69,9.7
Ahmedabad,2015-01-15,,,16.96,0.6,28.89,,20.4,51,13.7
Ahmedabad,2015-01-16,,,21.72,1.63,38.27,,20.0,53,13.2
Ahmedabad,2015-01-17,,,24.73,11.44,49.5,,19.4,52,16.5
Ahmedabad,2015-01-18,,,25.77,6.1,48.43,,18.9,50,13.8
Ahmedabad,2015-01-19,,,26.88,2.51,50.03,,19.6,51,14.2
Ahmedabad,2015-01-20,,,26.8,7.92,58.87,,21.3,53,14.1
Ahmedabad,2015-01-21,,,33.56,9.52,106.93,,20.7,67,8.3
Ahmedabad,2015-01-22,,,17.51,9.05,23.71,,20.4,68,11.6
Ahmedabad,2015-01-23,,,27.96,22.53,39.19,,19.0,57,10.5
Ahmedabad,2015-01-24,,,20.39,2.03,40.07,,19.4,64,15.3
